=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.01.03 20:51:55 =~=~=~=~=~=~=~=~=~=~=~=
unkÿunknown command
Changed active channel to 1
0x57df -1.9553509 0x6965 -1.9603860
0x57e0 -1.9551601 0x6964 -1.9607759
0x57e1 -1.9549694 0x6963 -1.9611669
0x57e2 -1.9547787 0x6966 -1.9599938
0x57e3 -1.9545879 0x6965 -1.9603860
0x57e4 -1.9543972 0x6963 -1.9611669
0x57e5 -1.9542065 0x6967 -1.9596040
0x57e6 -1.9540157 0x6967 -1.9596040
0x57e7 -1.9538250 0x6967 -1.9596040
0x57e8 -1.9536343 0x6967 -1.9596040
0x57e9 -1.9534435 0x6967 -1.9596040
0x57ea -1.9532527 0x6969 -1.9588232
0x57eb -1.9530619 0x6969 -1.9588232
0x57ec -1.9528712 0x696b -1.9580412
0x57ed -1.9526805 0x696b -1.9580412
0x57ee -1.9524897 0x696b -1.9580412
0x57ef -1.9522990 0x696c -1.9576514
0x57f0 -1.9521083 0x6969 -1.9588232
0x57f1 -1.9519175 0x696a -1.9584322
0x57f2 -1.9517268 0x696c -1.9576514
0x57f3 -1.9515361 0x696c -1.9576514
0x57f4 -1.9513453 0x696b -1.9580412
0x57f5 -1.9511546 0x696d -1.9572604
0x57f6 -1.9509639 0x696d -1.9572604
0x57f7 -1.9507731 0x696f -1.9564795
0x57f8 -1.9505824 0x6970 -1.9560885
0x57f9 -1.9503917 0x6970 -1.9560885
0x57fa -1.9502009 0x6971 -1.9556975
0x57fb -1.9500102 0x6970 -1.9560885
0x57fc -1.9498194 0x6972 -1.9553077
0x57fd -1.9496287 0x6972 -1.9553077
0x57fe -1.9494380 0x6971 -1.9556975
0x57ff -1.9492472 0x6972 -1.9553077
0x5800 -1.9490565 0x6973 -1.9549167
0x5801 -1.9488658 0x6977 -1.9533539
0x5802 -1.9486750 0x6974 -1.9545257
0x5803 -1.9484843 0x6974 -1.9545257
0x5804 -1.9482936 0x6975 -1.9541359
0x5805 -1.9481028 0x6974 -1.9545257
0x5806 -1.9479121 0x6977 -1.9533539
0x5807 -1.9477214 0x6977 -1.9533539
0x5808 -1.9475306 0x6977 -1.9533539
0x5809 -1.9473399 0x6979 -1.9525731
